date,kd
2016-01-01,0.12
2016-01-02,0.116
2016-01-03,0.116
2016-01-04,0.121
2016-01-05,0.132
2016-01-06,0.146
2016-01-07,0.147
2016-01-08,0.143
2016-01-09,0.141
2016-01-10,0.128
2016-01-11,0.13
2016-01-12,0.144
2016-01-13,0.136
2016-01-14,0.129
2016-01-15,0.136
2016-01-16,0.147
2016-01-17,0.138
2016-01-18,0.144
2016-01-19,0.137
2016-01-20,0.139
2016-01-21,0.135
2016-01-22,0.129
2016-01-23,0.133
2016-01-24,0.134
2016-01-25,0.137
2016-01-26,0.136
2016-01-27,0.138
2016-01-28,0.135
2016-01-29,0.135
2016-01-30,0.139
2016-01-31,0.147
2016-02-01,0.14
2016-02-02,0.144
2016-02-03,0.141
2016-02-04,0.138
2016-02-05,0.166
2016-02-06,0.166
2016-02-07,0.166
2016-02-08,0.171
2016-02-09,0.182
2016-02-10,0.182
2016-02-11,0.182
2016-02-12,0.182
2016-02-13,0.182
2016-02-14,0.182
2016-02-15,0.181
2016-02-16,0.182
2016-02-17,0.182
2016-02-18,0.188
2016-02-19,0.178
2016-02-20,0.171
2016-02-21,0.17
2016-02-22,0.162
2016-02-23,0.167
2016-02-24,0.174
2016-02-25,0.162
2016-02-26,0.172
2016-02-27,0.167
2016-02-28,0.169
2016-03-01,0.16
2016-03-02,0.152
2016-03-03,0.147
2016-03-04,0.159
2016-03-05,0.17
2016-03-06,0.162
2016-03-07,0.166
2016-03-08,0.158
2016-03-09,0.15
2016-03-10,0.137
2016-03-11,0.134
2016-03-12,0.124
2016-03-13,0.12
2016-03-14,0.12
2016-03-15,0.121
2016-03-16,0.122
2016-03-17,0.126
2016-03-18,0.125
2016-03-19,0.124
2016-03-20,0.128
2016-03-21,0.129
2016-03-22,0.135
2016-03-23,0.139
2016-03-24,0.14
2016-03-25,0.143
2016-03-26,0.139
2016-03-27,0.139
2016-03-28,0.145
2016-03-29,0.145
2016-03-30,0.148
2016-03-31,0.148
2016-04-01,0.146
2016-04-02,0.142
2016-04-03,0.152
2016-04-04,0.134
2016-04-05,0.132
2016-04-06,0.149
2016-04-07,0.147
2016-04-08,0.149
2016-04-09,0.154
2016-04-10,0.134
2016-04-11,0.137
2016-04-12,0.159
2016-04-13,0.134
2016-04-14,0.129
2016-04-15,0.124
2016-04-16,0.13
2016-04-17,0.124
2016-04-18,0.132
2016-04-19,0.119
2016-04-20,0.139
2016-04-21,0.139
2016-04-22,0.127
2016-04-23,0.138
2016-04-24,0.122
2016-04-25,0.116
2016-04-26,0.121
2016-04-27,0.121
2016-04-28,0.139
2016-04-29,0.152
2016-04-30,0.152
2016-05-01,0.131
2016-05-02,0.136
2016-05-03,0.131
2016-05-04,0.159
2016-05-05,0.188
2016-05-06,0.141
2016-05-07,0.141
2016-05-08,0.141
2016-05-09,0.141
2016-05-10,0.146
2016-05-11,0.139
2016-05-12,0.141
2016-05-13,0.12
2016-05-14,0.141
2016-05-15,0.141
2016-05-16,0.15
2016-05-17,0.142
2016-05-18,0.135
2016-05-19,0.138
2016-05-20,0.138
2016-05-21,0.154
2016-05-22,0.15
2016-05-23,0.144
2016-05-24,0.147
2016-05-25,0.158
2016-05-26,0.16
2016-05-27,0.16
2016-05-28,0.16
2016-05-29,0.166
2016-05-30,0.16
2016-05-31,0.161
2016-06-01,0.161
2016-06-02,0.159
2016-06-03,0.163
2016-06-04,0.165
2016-06-05,0.167
2016-06-06,0.173
2016-06-07,0.169
2016-06-08,0.165
2016-06-09,0.163
2016-06-10,0.175
2016-06-11,0.172
2016-06-12,0.172
2016-06-13,0.183
2016-06-14,0.18
2016-06-15,0.177
2016-06-16,0.177
2016-06-17,0.181
2016-06-18,0.19
2016-06-19,0.183
2016-06-20,0.181
2016-06-21,0.187
2016-06-22,0.185
2016-06-23,0.186
2016-06-24,0.186
2016-06-25,0.182
2016-06-26,0.187
2016-06-27,0.184
2016-06-28,0.18
2016-06-29,0.18
2016-06-30,0.182
2016-07-01,0.181
2016-07-02,0.184
2016-07-03,0.18
2016-07-04,0.18
2016-07-05,0.181
2016-07-06,0.178
2016-07-07,0.179
2016-07-08,0.173
2016-07-09,0.176
2016-07-10,0.172
2016-07-11,0.176
2016-07-12,0.171
2016-07-13,0.167
2016-07-14,0.17
2016-07-15,0.165
2016-07-16,0.18
2016-07-17,0.168
2016-07-18,0.171
2016-07-19,0.162
2016-07-20,0.156
2016-07-21,0.163
2016-07-22,0.156
2016-07-23,0.157
2016-07-24,0.151
2016-07-25,0.156
2016-07-26,0.151
2016-07-27,0.152
2016-07-28,0.154
2016-07-29,0.145
2016-07-30,0.153
2016-07-31,0.156
2016-08-01,0.152
2016-08-02,0.148
2016-08-03,0.149
2016-08-04,0.153
2016-08-05,0.146
2016-08-06,0.146
2016-08-07,0.141
2016-08-08,0.143
2016-08-09,0.145
2016-08-10,0.143
2016-08-11,0.18
2016-08-12,0.18
2016-08-13,0.18
2016-08-14,0.18
2016-08-15,0.18
2016-08-16,0.18
2016-08-17,0.18
2016-08-18,0.18
2016-08-19,0.18
2016-08-20,0.18
2016-08-21,0.18
2016-08-22,0.18
2016-08-23,0.18
2016-08-24,0.219
2016-08-25,0.188
2016-08-26,0.19
2016-08-27,0.209
2016-08-28,0.198
2016-08-29,0.208
2016-08-30,0.201
2016-08-31,0.204
2016-09-01,0.203
2016-09-02,0.205
2016-09-03,0.203
2016-09-04,0.199
2016-09-05,0.19
2016-09-06,0.176
2016-09-07,0.178
2016-09-08,0.174
2016-09-09,0.175
2016-09-10,0.19
2016-09-11,0.184
2016-09-12,0.205
2016-09-13,0.227
2016-09-14,0.244
2016-09-15,0.218
2016-09-16,0.225
2016-09-17,0.22
2016-09-18,0.214
2016-09-19,0.212
2016-09-20,0.208
2016-09-21,0.201
2016-09-22,0.197
2016-09-23,0.2
2016-09-24,0.198
2016-09-25,0.2
2016-09-26,0.198
2016-09-27,0.188
2016-09-28,0.189
2016-09-29,0.187
2016-09-30,0.184
2016-10-01,0.187
2016-10-02,0.177
2016-10-03,0.171
2016-10-04,0.178
2016-10-05,0.178
2016-10-06,0.177
2016-10-07,0.178
2016-10-08,0.179
2016-10-09,0.163
2016-10-10,0.174
2016-10-11,0.185
2016-10-12,0.177
2016-10-13,0.177
2016-10-14,0.177
2016-10-15,0.177
2016-10-16,0.177
2016-10-17,0.177
2016-10-18,0.177
2016-10-19,0.177
2016-10-20,0.177
2016-10-21,0.177
2016-10-22,0.177
2016-10-23,0.177
2016-10-24,0.177
2016-10-25,0.177
2016-10-26,0.177
2016-10-27,0.177
2016-10-28,0.177
2016-10-29,0.177
2016-10-30,0.177
2016-10-31,0.177
2016-11-01,0.104
2016-11-02,0.104
2016-11-03,0.104
2016-11-04,0.104
2016-11-05,0.104
2016-11-06,0.104
2016-11-07,0.104
2016-11-08,0.104
2016-11-09,0.104
2016-11-10,0.104
2016-11-11,0.104
2016-11-12,0.104
2016-11-13,0.104
2016-11-14,0.104
2016-11-15,0.104
2016-11-16,0.1
2016-11-17,0.098
2016-11-18,0.097
2016-11-19,0.102
2016-11-20,0.105
2016-11-21,0.103
2016-11-22,0.108
2016-11-23,0.108
2016-11-24,0.103
2016-11-25,0.101
2016-11-26,0.108
2016-11-27,0.109
2016-11-28,0.109
2016-11-29,0.106
2016-11-30,0.109
2016-12-01,0.118
2016-12-02,0.121
2016-12-03,0.119
2016-12-04,0.122
2016-12-05,0.122
2016-12-06,0.13
2016-12-07,0.129
2016-12-08,0.128
2016-12-09,0.13
2016-12-10,0.118
2016-12-11,0.141
2016-12-12,0.131
2016-12-13,0.133
2016-12-14,0.131
2016-12-15,0.16
2016-12-16,0.163
2016-12-17,0.166
2016-12-18,0.151
2016-12-19,0.154
2016-12-20,0.154
2016-12-21,0.154
2016-12-22,0.157
2016-12-23,0.15
2016-12-24,0.154
2016-12-25,0.154
2016-12-26,0.148
2016-12-27,0.154
2016-12-28,0.154
2016-12-29,0.154
2016-12-30,0.154
2016-12-31,0.154
2017-01-01,0.12
2017-01-02,0.116
2017-01-03,0.116
2017-01-04,0.121
2017-01-05,0.132
2017-01-06,0.146
2017-01-07,0.147
2017-01-08,0.143
2017-01-09,0.141
2017-01-10,0.128
2017-01-11,0.13
2017-01-12,0.144
2017-01-13,0.136
2017-01-14,0.129
2017-01-15,0.136
2017-01-16,0.147
2017-01-17,0.138
2017-01-18,0.144
2017-01-19,0.137
2017-01-20,0.139
2017-01-21,0.135
2017-01-22,0.129
2017-01-23,0.133
2017-01-24,0.134
2017-01-25,0.137
2017-01-26,0.136
2017-01-27,0.138
2017-01-28,0.135
2017-01-29,0.135
2017-01-30,0.139
2017-01-31,0.147
2017-02-01,0.14
2017-02-02,0.144
2017-02-03,0.141
2017-02-04,0.138
2017-02-05,0.166
2017-02-06,0.166
2017-02-07,0.166
2017-02-08,0.171
2017-02-09,0.182
2017-02-10,0.182
2017-02-11,0.182
2017-02-12,0.182
2017-02-13,0.182
2017-02-14,0.182
2017-02-15,0.181
2017-02-16,0.182
2017-02-17,0.182
2017-02-18,0.188
2017-02-19,0.178
2017-02-20,0.171
2017-02-21,0.17
2017-02-22,0.162
2017-02-23,0.167
2017-02-24,0.174
2017-02-25,0.162
2017-02-26,0.172
2017-02-27,0.167
2017-02-28,0.169
2017-03-01,0.16
2017-03-02,0.152
2017-03-03,0.147
2017-03-04,0.159
2017-03-05,0.17
2017-03-06,0.162
2017-03-07,0.166
2017-03-08,0.158
2017-03-09,0.15
2017-03-10,0.137
2017-03-11,0.134
2017-03-12,0.124
2017-03-13,0.12
2017-03-14,0.12
2017-03-15,0.121
2017-03-16,0.122
2017-03-17,0.126
2017-03-18,0.125
2017-03-19,0.124
2017-03-20,0.128
2017-03-21,0.129
2017-03-22,0.135
2017-03-23,0.139
2017-03-24,0.14
2017-03-25,0.143
2017-03-26,0.139
2017-03-27,0.139
2017-03-28,0.145
2017-03-29,0.145
2017-03-30,0.148
2017-03-31,0.148
2017-04-01,0.146
2017-04-02,0.142
2017-04-03,0.152
2017-04-04,0.134
2017-04-05,0.132
2017-04-06,0.149
2017-04-07,0.147
2017-04-08,0.149
2017-04-09,0.154
2017-04-10,0.134
2017-04-11,0.137
2017-04-12,0.159
2017-04-13,0.134
2017-04-14,0.129
2017-04-15,0.124
2017-04-16,0.13
2017-04-17,0.124
2017-04-18,0.132
2017-04-19,0.119
2017-04-20,0.139
2017-04-21,0.139
2017-04-22,0.127
2017-04-23,0.138
2017-04-24,0.122
2017-04-25,0.116
2017-04-26,0.121
2017-04-27,0.121
2017-04-28,0.139
2017-04-29,0.152
2017-04-30,0.152
2017-05-01,0.131
2017-05-02,0.136
2017-05-03,0.131
2017-05-04,0.159
2017-05-05,0.188
2017-05-06,0.141
2017-05-07,0.141
2017-05-08,0.141
2017-05-09,0.141
2017-05-10,0.146
2017-05-11,0.139
2017-05-12,0.141
2017-05-13,0.12
2017-05-14,0.141
2017-05-15,0.141
2017-05-16,0.15
2017-05-17,0.142
2017-05-18,0.135
2017-05-19,0.138
2017-05-20,0.138
2017-05-21,0.154
2017-05-22,0.15
2017-05-23,0.144
2017-05-24,0.147
2017-05-25,0.158
2017-05-26,0.16
2017-05-27,0.16
2017-05-28,0.16
2017-05-29,0.166
2017-05-30,0.16
2017-05-31,0.161
2017-06-01,0.161
2017-06-02,0.159
2017-06-03,0.163
2017-06-04,0.165
2017-06-05,0.167
2017-06-06,0.173
2017-06-07,0.169
2017-06-08,0.165
2017-06-09,0.163
2017-06-10,0.175
2017-06-11,0.172
2017-06-12,0.172
2017-06-13,0.183
2017-06-14,0.18
2017-06-15,0.177
2017-06-16,0.177
2017-06-17,0.181
2017-06-18,0.19
2017-06-19,0.183
2017-06-20,0.181
2017-06-21,0.187
2017-06-22,0.185
2017-06-23,0.186
2017-06-24,0.186
2017-06-25,0.182
2017-06-26,0.187
2017-06-27,0.184
2017-06-28,0.18
2017-06-29,0.18
2017-06-30,0.182
2017-07-01,0.181
2017-07-02,0.184
2017-07-03,0.18
2017-07-04,0.18
2017-07-05,0.181
2017-07-06,0.178
2017-07-07,0.179
2017-07-08,0.173
2017-07-09,0.176
2017-07-10,0.172
2017-07-11,0.176
2017-07-12,0.171
2017-07-13,0.167
2017-07-14,0.17
2017-07-15,0.165
2017-07-16,0.18
2017-07-17,0.168
2017-07-18,0.171
2017-07-19,0.162
2017-07-20,0.156
2017-07-21,0.163
2017-07-22,0.156
2017-07-23,0.157
2017-07-24,0.151
2017-07-25,0.156
2017-07-26,0.151
2017-07-27,0.152
2017-07-28,0.154
2017-07-29,0.145
2017-07-30,0.153
2017-07-31,0.156
2017-08-01,0.152
2017-08-02,0.148
2017-08-03,0.149
2017-08-04,0.153
2017-08-05,0.146
2017-08-06,0.146
2017-08-07,0.141
2017-08-08,0.143
2017-08-09,0.145
2017-08-10,0.143
2017-08-11,0.18
2017-08-12,0.18
2017-08-13,0.18
2017-08-14,0.18
2017-08-15,0.18
2017-08-16,0.18
2017-08-17,0.18
2017-08-18,0.18
2017-08-19,0.18
2017-08-20,0.18
2017-08-21,0.18
2017-08-22,0.18
2017-08-23,0.18
2017-08-24,0.219
2017-08-25,0.188
2017-08-26,0.19
2017-08-27,0.209
2017-08-28,0.198
2017-08-29,0.208
2017-08-30,0.201
2017-08-31,0.204
2017-09-01,0.203
2017-09-02,0.205
2017-09-03,0.203
2017-09-04,0.199
2017-09-05,0.19
2017-09-06,0.176
2017-09-07,0.178
2017-09-08,0.174
2017-09-09,0.175
2017-09-10,0.19
2017-09-11,0.184
2017-09-12,0.205
2017-09-13,0.227
2017-09-14,0.244
2017-09-15,0.218
2017-09-16,0.225
2017-09-17,0.22
2017-09-18,0.214
2017-09-19,0.212
2017-09-20,0.208
2017-09-21,0.201
2017-09-22,0.197
2017-09-23,0.2
2017-09-24,0.198
2017-09-25,0.2
2017-09-26,0.198
2017-09-27,0.188
2017-09-28,0.189
2017-09-29,0.187
2017-09-30,0.184
2017-10-01,0.187
2017-10-02,0.177
2017-10-03,0.171
2017-10-04,0.178
2017-10-05,0.178
2017-10-06,0.177
2017-10-07,0.178
2017-10-08,0.179
2017-10-09,0.163
2017-10-10,0.174
2017-10-11,0.185
2017-10-12,0.177
2017-10-13,0.177
2017-10-14,0.177
2017-10-15,0.177
2017-10-16,0.177
2017-10-17,0.177
2017-10-18,0.177
2017-10-19,0.177
2017-10-20,0.177
2017-10-21,0.177
2017-10-22,0.177
2017-10-23,0.177
2017-10-24,0.177
2017-10-25,0.177
2017-10-26,0.177
2017-10-27,0.177
2017-10-28,0.177
2017-10-29,0.177
2017-10-30,0.177
2017-10-31,0.177
2017-11-01,0.104
2017-11-02,0.104
2017-11-03,0.104
2017-11-04,0.104
2017-11-05,0.104
2017-11-06,0.104
2017-11-07,0.104
2017-11-08,0.104
2017-11-09,0.104
2017-11-10,0.104
2017-11-11,0.104
2017-11-12,0.104
2017-11-13,0.104
2017-11-14,0.104
2017-11-15,0.104
2017-11-16,0.1
2017-11-17,0.098
2017-11-18,0.097
2017-11-19,0.102
2017-11-20,0.105
2017-11-21,0.103
2017-11-22,0.108
2017-11-23,0.108
2017-11-24,0.103
2017-11-25,0.101
2017-11-26,0.108
2017-11-27,0.109
2017-11-28,0.109
2017-11-29,0.106
2017-11-30,0.109
2017-12-01,0.118
2017-12-02,0.121
2017-12-03,0.119
2017-12-04,0.122
2017-12-05,0.122
2017-12-06,0.13
2017-12-07,0.129
2017-12-08,0.128
2017-12-09,0.13
2017-12-10,0.118
2017-12-11,0.141
2017-12-12,0.131
2017-12-13,0.133
2017-12-14,0.131
2017-12-15,0.16
2017-12-16,0.163
2017-12-17,0.166
2017-12-18,0.151
2017-12-19,0.154
2017-12-20,0.154
2017-12-21,0.154
2017-12-22,0.157
2017-12-23,0.15
2017-12-24,0.154
2017-12-25,0.154
2017-12-26,0.148
2017-12-27,0.154
2017-12-28,0.154
2017-12-29,0.154
2017-12-30,0.154
2017-12-31,0.154
2018-01-01,0.147
2018-01-02,0.147
2018-01-03,0.147
2018-01-04,0.147
2018-01-05,0.147
2018-01-06,0.147
2018-01-07,0.147
2018-01-08,0.147
2018-01-09,0.147
2018-01-10,0.147
2018-01-11,0.147
2018-01-12,0.133
2018-01-13,0.128
2018-01-14,0.149
2018-01-15,0.142
2018-01-16,0.149
2018-01-17,0.143
2018-01-18,0.136
2018-01-19,0.142
2018-01-20,0.146
2018-01-21,0.146
2018-01-22,0.146
2018-01-23,0.146
2018-01-24,0.148
2018-01-25,0.149
2018-01-26,0.157
2018-01-27,0.149
2018-01-28,0.151
2018-01-29,0.152
2018-01-30,0.15
2018-01-31,0.151
2018-02-01,0.151
2018-02-02,0.151
2018-02-03,0.151
2018-02-04,0.151
2018-02-05,0.151
2018-02-06,0.151
2018-02-07,0.151
2018-02-08,0.151
2018-02-09,0.151
2018-02-10,0.151
2018-02-11,0.151
2018-02-12,0.151
2018-02-13,0.151
2018-02-14,0.151
2018-02-15,0.151
2018-02-16,0.151
2018-02-17,0.13
2018-02-18,0.13
2018-02-19,0.13
2018-02-20,0.134
2018-02-21,0.13
2018-02-22,0.13
2018-02-23,0.13
2018-02-24,0.136
2018-02-25,0.134
2018-02-26,0.131
2018-02-27,0.127
2018-02-28,0.132
2018-03-01,0.132
2018-03-02,0.132
2018-03-03,0.132
2018-03-04,0.127
2018-03-05,0.127
2018-03-06,0.127
2018-03-07,0.127
2018-03-08,0.127
2018-03-09,0.127
2018-03-10,0.127
2018-03-11,0.124
2018-03-12,0.12
2018-03-13,0.106
2018-03-14,0.104
2018-03-15,0.114
2018-03-16,0.109
2018-03-17,0.117
2018-03-18,0.128
2018-03-19,0.121
2018-03-20,0.114
2018-03-21,0.103
2018-03-22,0.105
2018-03-23,0.102
2018-03-24,0.108
2018-03-25,0.107
2018-03-26,0.103
2018-03-27,0.112
2018-03-28,0.106
2018-03-29,0.106
2018-03-30,0.107
2018-03-31,0.109
2018-04-01,0.109
2018-04-02,0.11
2018-04-03,0.112
2018-04-04,0.11
2018-04-05,0.108
2018-04-06,0.11
2018-04-07,0.108
2018-04-08,0.109
2018-04-09,0.117
2018-04-10,0.112
2018-04-11,0.114
2018-04-12,0.117
2018-04-13,0.115
2018-04-14,0.116
2018-04-15,0.117
2018-04-16,0.119
2018-04-17,0.117
2018-04-18,0.108
2018-04-19,0.104
2018-04-20,0.106
2018-04-21,0.103
2018-04-22,0.108
2018-04-23,0.107
2018-04-24,0.104
2018-04-25,0.106
2018-04-26,0.107
2018-04-27,0.096
2018-04-28,0.12
2018-04-29,0.107
2018-04-30,0.108
2018-05-01,0.11
2018-05-02,0.111
2018-05-03,0.109
2018-05-04,0.113
2018-05-05,0.116
2018-05-06,0.124
2018-05-07,0.168
2018-05-08,0.174
2018-05-09,0.169
2018-05-10,0.178
2018-05-11,0.167
2018-05-12,0.195
2018-05-13,0.196
2018-05-14,0.17
2018-05-15,0.167
2018-05-16,0.167
2018-05-17,0.191
2018-05-18,0.169
2018-05-19,0.167
2018-05-20,0.17
2018-05-21,0.169
2018-05-22,0.166
2018-05-23,0.168
2018-05-24,0.172
2018-05-25,0.174
2018-05-26,0.2
2018-05-27,0.168
2018-05-28,0.174
2018-05-29,0.176
2018-05-30,0.231
2018-05-31,0.179
2018-06-01,0.178
2018-06-02,0.177
2018-06-03,0.179
2018-06-04,0.174
2018-06-05,0.178
2018-06-06,0.174
2018-06-07,0.171
2018-06-08,0.171
2018-06-09,0.192
2018-06-10,0.169
2018-06-11,0.171
2018-06-12,0.174
2018-06-13,0.167
2018-06-14,0.195
2018-06-15,0.211
2018-06-16,0.175
2018-06-17,0.169
2018-06-18,0.168
2018-06-19,0.21
2018-06-20,0.198
2018-06-21,0.186
2018-06-22,0.173
2018-06-23,0.204
